Objects;V;S;R;G;d;W1;W2;W3;W4;W5;W6;W7;W8;D1;D2;D3;D4;D5;D6;D7;D8;WO1;WO2;WO3;WO4;WO5;WO6;WN1;WN2;WN3;WN4;WN5;WN6;IW1;IW2;IW3;IW4;CW1;CW2;CW3;CW4;CW5;CW6;CW7;CW8;ID1;ID2;ID3;ID4;CD1;CD2;CD3;CD4;CD5;CD6;CD7;CD8;HL1;HL2;A;CP;POL;MW;FLEX;FLEX_RB;NCC;DIFF;SE;SE0;SE1;LOGP n-Oct;LOGP c-Hex;PSA;HSA;PSAR;PHSAR;LgD5;LgD6;LgD7;LgD7.5;LgD8;LgD9;LgD10;AUS7.4;%FU4;%FU5;%FU6;%FU7;%FU8;%FU9;%FU10;SOLY;LgS3;LgS4;LgS5;LgS6;LgS7;LgS7.5;LgS8;LgS9;LgS10;LgS11;MpKaA;mpKaB;PB;VD;CACO2;SKIN;MetStab;HTSflag;C1;C2;C3;C4;C5;P1;P2;P3;P4;P5;EMDIF;EMDIS;Sdry/S;Spol/S;FLEX_PT;PAINS;CUSTOM
1,1,1,2-tetrachloroethane_c0;327.875;248.402;1.31994;1.12279;0.511927;560.0;163.875;4.875;0.0;0.0;0.0;0.0;0.0;290.125;106.625;51.25;24.25;8.75;3.625;1.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00269201;0.0799805;0.0;0.0;2.25441;0.659716;0.0196254;0.0;0.0;0.0;0.0;0.0;0.00254086;0.0286435;0.0901562;0.410864;1.16796;0.429243;0.206319;0.0976239;0.0352251;0.0145933;0.00402573;0.000503216;0.0;0.0;1.07083;102.5;12.156;167.848;0.244904;0.244904;0;1.01545;2.22344;2.22344;0.0;2.8708;2.667;0.0;248.402;0.0;0.0;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;-3.50988;-3.50988;-3.50988;-3.50988;-3.50988;-3.50988;-3.50988;-3.50988;-3.50988;-3.50988;-3.50988;;;59.0272;0.781971;1.28038;-0.939378;63.1237;0;0.0;0.166667;0.166667;0.0;0;0;0.0;0.0;0.0;0.0;3.11199;2.80238;1.0;0.0;0.195959;0;
1,1,1,2-tetrachloroethane_c1;327.75;249.588;1.31316;1.13127;0.512122;561.875;163.5;4.75;0.0;0.0;0.0;0.0;0.0;291.125;107.625;51.625;24.0;8.25;3.5;1.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00407104;0.0840781;0.0;0.0;2.25121;0.65508;0.0190314;0.0;0.0;0.0;0.0;0.0;0.00345942;0.0298133;0.0942453;0.422179;1.16642;0.431211;0.206841;0.0961585;0.0330545;0.0140231;0.00450743;0.0;0.0;0.0;1.07894;103.25;12.156;167.848;0.244781;0.244781;0;1.01589;2.22344;2.22344;0.0;2.8708;2.667;0.0;249.588;0.0;0.0;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;-3.50549;-3.50549;-3.50549;-3.50549;-3.50549;-3.50549;-3.50549;-3.50549;-3.50549;-3.50549;-3.50549;;;58.7595;0.781076;1.2776;-0.93746;63.1161;0;0.0;0.166667;0.166667;0.0;0;0;0.0;0.0;0.0;0.0;3.11199;2.80274;1.0;0.0;0.195959;0;
1,1,1,2-tetrachloroethane_c2;327.625;241.829;1.35478;1.07934;0.512318;550.625;162.375;4.375;0.0;0.0;0.0;0.0;0.0;291.625;107.0;52.5;25.125;8.25;4.0;1.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00367717;0.133386;0.0;0.0;2.27692;0.671446;0.0180913;0.0;0.0;0.0;0.0;0.0;0.00677116;0.0281151;0.0698003;0.509331;1.20591;0.442462;0.217096;0.103896;0.034115;0.0165406;0.00413516;0.000516894;0.0;0.0;1.26513;105.0;12.156;167.848;0.244843;0.244843;0;1.0164;2.22344;2.22344;0.0;2.8708;2.667;0.0;241.829;0.0;0.0;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;-3.5358;-3.5358;-3.5358;-3.5358;-3.5358;-3.5358;-3.5358;-3.5358;-3.5358;-3.5358;-3.5358;;;60.5285;0.809629;1.27765;-0.926855;63.4355;0;0.0;0.166667;0.166667;0.0;0;0;0.0;0.0;0.0;0.0;3.11199;2.80524;1.0;0.0;0.195959;0;
1,1,1,2-tetrachloroethane_c3;326.25;243.898;1.33765;1.09783;0.514477;550.75;163.375;4.5;0.0;0.0;0.0;0.0;0.0;289.125;108.625;53.125;25.375;8.5;4.125;1.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00510101;0.108375;0.0;0.0;2.25811;0.669849;0.0184503;0.0;0.0;0.0;0.0;0.0;0.00332068;0.0285691;0.0979416;0.497803;1.18543;0.44537;0.217816;0.104039;0.0348506;0.0169128;0.00410007;0.000512509;0.0;0.0;1.27876;106.25;12.156;167.848;0.244801;0.244801;0;1.01751;2.22344;2.22344;0.0;2.8708;2.667;0.0;243.898;0.0;0.0;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;-3.53573;-3.53573;-3.53573;-3.53573;-3.53573;-3.53573;-3.53573;-3.53573;-3.53573;-3.53573;-3.53573;;;59.6756;0.812815;1.27529;-0.933183;63.683;0;0.0;0.166667;0.166667;0.0;0;0;0.0;0.0;0.0;0.0;3.11199;2.80523;1.0;0.0;0.195959;0;
1,1,1,2-tetrachloroethane_c4;327.625;244.183;1.34172;1.09514;0.512318;551.375;163.0;4.5;0.0;0.0;0.0;0.0;0.0;289.875;106.25;51.125;24.25;9.0;3.625;1.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00478115;0.0827911;0.0;0.0;2.25804;0.667533;0.0184288;0.0;0.0;0.0;0.0;0.0;0.0033656;0.0299998;0.0733077;0.402653;1.18712;0.435125;0.209372;0.0993109;0.0368577;0.0148454;0.0040953;0.000511912;0.0;0.0;1.31621;102.25;12.156;167.848;0.244855;0.244855;0;1.01383;2.22344;2.22344;0.0;2.8708;2.667;0.0;244.183;0.0;0.0;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;-3.51392;-3.51392;-3.51392;-3.51392;-3.51392;-3.51392;-3.51392;-3.51392;-3.51392;-3.51392;-3.51392;;;60.1557;0.791506;1.28004;-0.931218;63.0766;0;0.0;0.166667;0.166667;0.0;0;0;0.0;0.0;0.0;0.0;3.11199;2.80289;1.0;0.0;0.195959;0;
1,1,1,2-tetrachloroethane_c5;326.0;248.002;1.3145;1.12652;0.514871;550.125;165.25;4.5;0.0;0.0;0.0;0.0;0.0;290.5;107.0;52.0;23.5;8.75;3.75;1.125;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00480832;0.0849737;0.0;0.0;2.21823;0.666324;0.018145;0.0;0.0;0.0;0.0;0.0;0.00443057;0.0303146;0.080902;0.450937;1.17136;0.431448;0.209675;0.0947572;0.0352819;0.0151208;0.00453625;0.000504028;0.0;0.0;1.25993;104.0;12.156;167.848;0.244787;0.244787;0;1.01459;2.22344;2.22344;0.0;2.8708;2.667;0.0;248.002;0.0;0.0;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;-3.50463;-3.50463;-3.50463;-3.50463;-3.50463;-3.50463;-3.50463;-3.50463;-3.50463;-3.50463;-3.50463;;;58.8205;0.790644;1.27727;-0.93561;63.4024;0;0.0;0.166667;0.166667;0.0;0;0;0.0;0.0;0.0;0.0;3.11199;2.80531;1.0;0.0;0.195959;0;
1,1,1,2-tetrachloroethane_c6;326.625;248.426;1.31478;1.12725;0.513886;562.375;162.375;4.75;0.0;0.0;0.0;0.0;0.0;290.5;106.0;52.5;23.375;8.625;3.625;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0018025;0.113689;0.0;0.0;2.26376;0.653616;0.0191204;0.0;0.0;0.0;0.0;0.0;0.00429403;0.0194056;0.076719;0.424984;1.16936;0.426687;0.211331;0.0940926;0.0347186;0.0145919;0.00402535;0.0;0.0;0.0;1.08247;105.0;12.156;167.848;0.244992;0.244992;0;1.01777;2.22344;2.22344;0.0;2.8708;2.667;0.0;248.426;0.0;0.0;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;-3.50516;-3.50516;-3.50516;-3.50516;-3.50516;-3.50516;-3.50516;-3.50516;-3.50516;-3.50516;-3.50516;;;58.7134;0.779289;1.26277;-0.931202;63.5161;0;0.0;0.166667;0.166667;0.0;0;0;0.0;0.0;0.0;0.0;3.11199;2.80354;1.0;0.0;0.195959;0;
1,1,1,2-tetrachloroethane_c7;326.75;248.639;1.31415;1.12827;0.51369;549.375;164.625;4.25;0.0;0.0;0.0;0.0;0.0;291.375;106.5;52.5;24.25;8.875;3.875;1.25;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00488073;0.0767572;0.0;0.0;2.20953;0.662104;0.017093;0.0;0.0;0.0;0.0;0.0;0.00372867;0.0284832;0.0834287;0.401209;1.17188;0.428331;0.211149;0.0975309;0.0356943;0.0155848;0.00502736;0.000502736;0.0;0.0;1.26919;105.0;12.156;167.848;0.244833;0.244833;0;1.01659;2.22344;2.22344;0.0;2.8708;2.667;0.0;248.639;0.0;0.0;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;-3.50558;-3.50558;-3.50558;-3.50558;-3.50558;-3.50558;-3.50558;-3.50558;-3.50558;-3.50558;-3.50558;;;58.8736;0.794318;1.26863;-0.934226;63.5496;0;0.0;0.166667;0.166667;0.0;0;0;0.0;0.0;0.0;0.0;3.11199;2.80507;1.0;0.0;0.195959;0;
1,1,1,2-tetrachloroethane_c8;326.875;248.143;1.31728;1.12446;0.513493;561.375;164.125;5.125;0.0;0.0;0.0;0.0;0.0;289.375;106.375;52.625;25.0;9.25;3.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00130042;0.0727914;0.0;0.0;2.2623;0.661413;0.0206534;0.0;0.0;0.0;0.0;0.0;0.00233847;0.0223801;0.0574209;0.343907;1.16616;0.428684;0.212075;0.100748;0.0372769;0.0141048;0.00402993;0.0;0.0;0.0;1.0695;105.25;12.156;167.848;0.244961;0.244961;0;1.02402;2.22344;2.22344;0.0;2.8708;2.667;0.0;248.143;0.0;0.0;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.8708;2.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;-3.51319;-3.51319;-3.51319;-3.51319;-3.51319;-3.51319;-3.51319;-3.51319;-3.51319;-3.51319;-3.51319;;;59.1982;0.777624;1.2509;-0.930744;63.7028;0;0.0;0.166667;0.166667;0.0;0;0;0.0;0.0;0.0;0.0;3.11199;2.80411;1.0;0.0;0.195959;0;
1,1-difluorochloroethylene_c0;210.125;175.335;1.19842;1.03896;0.468668;540.875;335.875;190.0;79.75;16.0;0.0;0.0;0.0;71.625;10.75;3.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;218.75;84.0;11.5;0.0;0.0;0.0;0.247383;0.642206;1.08033;0.0;3.08481;1.91562;1.08364;0.454844;0.0912539;0.0;0.0;0.0;0.166454;0.0792356;0.0;0.0;0.408504;0.0613112;0.0171101;0.00427753;0.0;0.0;0.0;0.0;5.33333;0.0;2.86372;0.575798;5.998;98.4789;0.0;0.0;0;1.17716;2.54564;2.54564;0.0;1.66289;2.059;3.4;171.935;0.0193915;0.0197749;1.66289;1.66289;1.66289;1.66289;1.66289;1.66289;1.66289;2.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;-0.952952;-0.952952;-0.952952;-0.952952;-0.952952;-0.952952;-0.952952;-0.952952;-0.952952;-0.952952;-0.952952;;;46.7887;0.123791;1.19612;-2.02298;100.0;0;0.0;0.2;0.2;0.0;0;0;0.0;0.0;0.0;0.0;3.63672;1.35907;0.522885;0.432101;0.0;0;
